status,id,name,kind,lat,lng,motdang_url
added,cr-curated-phriao,เพรียว,pharmacy,19.9093,99.8292,https://motdang.net/cr/p/crcuratedphriao.html
added,cr-curated-ran-phronni-kaisot,ร้าน พรรณีไก่สด,fresh chicken stall,19.9093,99.8292,https://motdang.net/cr/p/crcuratedranphronnikaisot.html
added,cr-curated-wai-wan-yunipom,วัยหวาน ยูนิฟอร์ม,uniform shop,19.9093,99.8292,https://motdang.net/cr/p/crcuratedwaiwanyunipom.html
added,cr-curated-ran-suea-suai,ร้าน เสื้อสวย,clothes shop,19.9093,99.8292,https://motdang.net/cr/p/crcuratedransueasuai.html
added,cr-curated-trairat-thantaphaet,ไตรรัตน์ทันตแพทย์,dental clinic,19.9093,99.8292,https://motdang.net/cr/p/crcuratedtrairatthantaphaet.html
added,cr-curated-clinic-thantakrarom-urai-wan-thantaphaet,คลินิกทันตกรรม อุไรวรรณทันตแพทย์,dental clinic,19.9093,99.8292,https://motdang.net/cr/p/crcuratedclinicthantakraromuraiwanthantaphaet.html
added,cr-curated-faechan-faep-rik,แฟชั่นแฟบริค,fabric shop,19.9093,99.8292,https://motdang.net/cr/p/crcuratedfaechanfaeprik.html
added,cr-curated-laksami,ลักษมี,fabric shop,19.9093,99.8292,https://motdang.net/cr/p/crcuratedlaksami.html
added,cr-curated-hangthong-yaowarat-khatnga,ห้างทองเยาวราชค้าส่ง,gold shop (wholesale),19.9093,99.8292,https://motdang.net/cr/p/crcuratedhangthongyaowaratkhatnga.html
added,cr-curated-hot-spring-halal-food,HOT SPRING HALAL FOOD,restaurant,19.115,99.462,https://motdang.net/cr/p/hot-spring-halal-food-crcuratedhotspringhalalfood.html
added,cr-curated-ku-phai-saeng-kaew-phothiyan,กู้ภัยแสงแก้วโพธิญาณ,rescue unit post,19.6028470993042,99.52671813964844,https://motdang.net/cr/p/crcuratedkuphaisaengkaewphothiyan.html
added,cr-curated-moshi-moshi-central-chiangrai,Moshi Moshi,gifts and household goods (full sign seen in view GS010010_t0056_s0f0),19.886284,99.8330265,https://motdang.net/cr/p/moshi-moshi-crcuratedmoshimoshicentralchiangrai.html
added,cr-curated-amaze-central-chiangrai,AMAZE,"women's fashion store; facade lists Guy Laroche, GSP, LOF-FI-CIEL, Jousse",19.886284,99.8330265,https://motdang.net/cr/p/amaze-crcuratedamazecentralchiangrai.html
added,cr-curated-supersports-central-chiangrai,SUPERSPORTS,sports store,19.886284,99.8330265,https://motdang.net/cr/p/supersports-crcuratedsupersportscentralchiangrai.html
added,cr-curated-skechers-central-chiangrai,SKECHERS,shoe store,19.886284,99.8330265,https://motdang.net/cr/p/skechers-crcuratedskecherscentralchiangrai.html
added,cr-curated-fotobooth-central-chiangrai,FOTOBOOTH,photo booth; FOTOYA banner beside it,19.886284,99.8330265,https://motdang.net/cr/p/fotobooth-crcuratedfotoboothcentralchiangrai.html
added,cr-curated-crocs-central-chiangrai,crocs,shoe store,19.886284,99.8330265,https://motdang.net/cr/p/crocs-crcuratedcrocscentralchiangrai.html
added,cr-curated-chob-cha-central-chiangrai,CHOB CHA,shop sign seen across the Thai-crafts concourse,19.886284,99.8330265,https://motdang.net/cr/p/chob-cha-crcuratedchobchacentralchiangrai.html
added,cr-curated-verra-central-chiangrai,Verra,bedding and pillow shop,19.886284,99.8330265,https://motdang.net/cr/p/verra-crcuratedverracentralchiangrai.html
added,cr-curated-daiso-central-chiangrai,DAISO,Japanese variety store,19.886284,99.8330265,https://motdang.net/cr/p/daiso-crcurateddaisocentralchiangrai.html
added,cr-curated-mister-donut-central-chiangrai,Mister Donut,doughnut shop,19.886284,99.8330265,https://motdang.net/cr/p/mister-donut-crcuratedmisterdonutcentralchiangrai.html
added,cr-curated-auntie-annes-central-chiangrai,Auntie Anne's,pretzel shop,19.886284,99.8330265,https://motdang.net/cr/p/auntie-anne-s-crcuratedauntieannescentralchiangrai.html
added,cr-curated-sabina-central-chiangrai,SABINA,lingerie shop,19.886284,99.8330265,https://motdang.net/cr/p/sabina-crcuratedsabinacentralchiangrai.html
added,cr-curated-giordano-central-chiangrai,GIORDANO,fashion store,19.886284,99.8330265,https://motdang.net/cr/p/giordano-crcuratedgiordanocentralchiangrai.html
added,cr-curated-de-beers-forevermark-central-chiangrai,DE BEERS FOREVERMARK,diamond jewellery shop,19.886284,99.8330265,https://motdang.net/cr/p/de-beers-forevermark-crcurateddebeersforevermarkcentralchiangrai.html
added,cr-curated-dilavie-central-chiangrai,dilavie,jewellery shop,19.886284,99.8330265,https://motdang.net/cr/p/dilavie-crcurateddilaviecentralchiangrai.html
added,cr-curated-anello-central-chiangrai,anello,bag shop,19.886284,99.8330265,https://motdang.net/cr/p/anello-crcuratedanellocentralchiangrai.html
added,cr-curated-istudio-central-chiangrai,iStudio,Apple products reseller,19.886284,99.8330265,https://motdang.net/cr/p/istudio-crcuratedistudiocentralchiangrai.html
added,cr-curated-it-city-central-chiangrai,IT CITY,computer and electronics store,19.886284,99.8330265,https://motdang.net/cr/p/it-city-crcurateditcitycentralchiangrai.html
added,cr-curated-lemony-central-chiangrai,LEMONY,gift and lifestyle shop,19.886284,99.8330265,https://motdang.net/cr/p/lemony-crcuratedlemonycentralchiangrai.html
added,cr-curated-officemate-central-chiangrai,OfficeMate,office supplies store (cell shows Office M…; full sign in view GS010011_t0024_s0f1),19.886284,99.8330265,https://motdang.net/cr/p/officemate-crcuratedofficematecentralchiangrai.html
added,cr-curated-tokuyo-central-chiangrai,tokuyo,massage chair shop,19.886284,99.8330265,https://motdang.net/cr/p/tokuyo-crcuratedtokuyocentralchiangrai.html
added,cr-curated-honor-central-chiangrai,HONOR,phone brand shop,19.886284,99.8330265,https://motdang.net/cr/p/honor-crcuratedhonorcentralchiangrai.html
added,cr-curated-talia-central-chiangrai,TALIA,fashion store,19.886284,99.8330265,https://motdang.net/cr/p/talia-crcuratedtaliacentralchiangrai.html
